month;gw;se;fakt
2015-01-01;168859;157625;324940
2015-02-01;168077;147000;324529
2015-03-01;158924;148122;315700
2015-04-01;166740;152119;328916
2015-05-01;156043;143992;305990
2015-06-01;154296;139494;293160
2015-07-01;152873;141505;297254
2015-08-01;153541;139799;301172
2015-09-01;149416;137463;297990
2015-10-01;155735;142824;298962
2015-11-01;157055;141058;299819
2015-12-01;160350;143818;303338
2016-01-01;154165;152006;314918
2016-02-01;152385;143218;308457
2016-03-01;145709;143391;299790
2016-04-01;152282;145341;283381
2016-05-01;141653;136295;276051
2016-06-01;133494;129802;270045
2016-07-01;142182;136316;266363
2016-08-01;132766;132036;270330
2016-09-01;136143;136119;279497
2016-10-01;135277;135685;266940
2016-11-01;129786;132162;268764
2016-12-01;132836;135130;272663
2017-01-01;118251;137108;279886
2017-02-01;119716;131710;279933
2017-03-01;117101;133094;277877
2017-04-01;120565;132840;266407
2017-05-01;111998;130634;259693
2017-06-01;112188;128209;260021
2017-07-01;107799;127493;252577
