iso;tu.density;gdppc;emprate;yur
AUS;18.1971889476104;44.407;72.3;11.7
AUT;27.4470115685764;44.141;71.5;8.7
BEL;55.0205191438890;40.838;61.8;19.8
CAN;27.4626435340721;42.114;72.3;14.3
CHE;16.2119441284072;53.641;79.6;8.4
CHL;15.3173932814850;21.486;61.8;16.7
CZE;13.3961499989263;27.527;66.9;19.5
DEU;17.8692346982208;41.923;73.3;8.1
DNK;67.2041910530839;42.787;72.4;14.1
ESP;17.4734717073957;32.559;55.0;53.2
EST;06.4138659158895;24.260;67.1;19.9
FIN;68.6335985025737;39.160;69.3;17.8
FRA;07.7448676007497;36.933;64.0;23.8
GBR;25.8386451663520;35.671;70.4;21.0
GRC;21.2648699845589;25.987;49.9;55.3
HUN;10.5508387770288;22.635;57.0;28.1
IRL;31.2254001574390;43.803;59.1;33.0
ISL;82.6031083143414;39.117;80.0;13.6
ITA;36.2756859519542;34.141;56.3;35.3
JPN;17.9723837209302;35.482;70.8;7.9
LUX;32.8182073616184;89.417;66.2;18.8
MEX;13.6179317434084;17.019;60.5;9.4
NLD;17.6948962422883;43.348;74.9;9.5
NOR;53.2721967486453;66.135;75.5;8.6
NZL;20.5075716603569;32.888;71.0;17.7
POL;12.5160839738821;22.782;59.7;26.5
PRT;20.5374339995285;25.802;60.1;37.7
SVK;16.7614790735473;25.848;59.3;34.0
SWE;67.5059348248327;42.865;73.8;23.7
TUR;4.54172482233178;18.328;49.8;17.5
USA;11.0788475770103;51.689;67.4;16.2
